image_name,value
vertical,vertical
horizontal,horizontal
zero,0
one,1
two,2
three,3
four,4
five,5
six,6
seven,7
eight,8
nine,9
ten,10
eleven,11
twelve,12
a_key,A MAJOR
bb_key,Bb MAJOR
b_key,B MAJOR
c_key,C MAJOR
db_key,Db MAJOR
d_key,D MAJOR
eb_key,Eb MAJOR
e_key,E MAJOR
f_key,F MAJOR
fsharp_key,F# MAJOR
g_key,G MAJOR
ab_key,Ab MAJOR
am_key,A MINOR
bbm_key,B MINOR
bm_key,B MINOR
cm_key,C MINOR
csharpm_key,C# MINOR
dm_key,D MINOR
dsharpm_key,D# MINOR
em_key,E MINOR
fm_key,F MINOR
fsharpm_key,F# MINOR
gm_key,G MINOR
gsharpm_key,G# MINOR
e,1
a,2
d,3
g,4
b,5
e,6
