root_name,root_id,position_1_x,position_1_y,position_2_x,position_2_y,position_3_x,position_3_y,second,minor_third,third,fourth,fifth,flat_fifth,sharp_fifth,sixth,minor_seventh,major_seventh,octive,ninth,sharp_ninth,eleventh,thirteenth
e,e1,59,208,0,0,0,0,f#/gb1,g1,g#/ab1,a1,b1,a#/bb1,c1,c#/db1,d1,d#/eb1,e2,f#/gb2,g2,a2,c#/db2
e,e2,68,461,77,286,57,595,f#/gb2,g2,g#/ab2,a2,b2,a#/bb2,c2,c#/db2,d2,d#/eb2,e3,f#/gb3,g3,a3,c#/db3
e,e3,89,519,98,397,0,0,f#/gb3,g3,g#/ab3,a3,b3,a#/bb3,c3,c#/db3,d3,d#/eb3,e4,0,0,0,0
e,e4,113,595,104,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f,f1,59,247,0,0,0,0,g1,g#/ab1,a1,a#/bb1,c1,b1,c#/db1,d1,d#/eb1,e2,f2,g2,g#/ab2,a#/bb2,d2
f,f2,68,491,77,325,0,0,g2,g#/ab2,a2,a#/bb2,c2,b2,c#/db2,d2,d#/eb2,e3,f3,g3,g#/ab3,a#/bb3,d3
f,f3,89,545,98,430,104,247,g3,g#/ab3,a3,a#/bb3,c3,b3,c#/db3,d3,d#/eb3,e4,0,0,0,0,0
f#/gb,f#/gb1,59,286,0,0,0,0,g#/ab1,a1,a#/bb1,b1,c#/db1,c1,d1,d#/eb1,e2,f1,f#/gb2,g#/ab2,a2,b2,d#/eb2
f#/gb,f#/gb2,68,519,77,362,0,0,g#/ab2,a2,a#/bb2,b2,c#/db2,c2,d2,d#/eb2,e3,f2,f#/gb3,g#/ab3,a3,b3,d#/eb3
f#/gb,f#/gb3,90,569,77,362,104,286,g#/ab3,a3,a#/bb3,b3,c#/db3,c3,d3,d#/eb3,e4,f3,0,0,0,0,0
g,g1,86,208,0,0,0,0,a1,a#/bb1,b1,c1,d1,c#/db1,d#/eb1,e2,f2,f#/gb2,g2,a2,a#/bb2,c2,e3
g,g2,68,545,78,397,90,595,a2,a#/bb2,b2,c2,d2,c#/db2,d#/eb2,e3,f3,f#/gb3,g3,a3,a#/bb3,c3,e4
g,g3,100,491,105,325,0,0,a3,a#/bb3,b3,c3,d3,c#/db3,d#/eb3,e4,0,0,0,0,0,0,0
g#/ab,g#/ab1,59,362,0,0,0,0,a#/bb1,b1,c1,c#/db1,d#/eb1,d1,e2,f1,f#/gb1,g1,g#/ab2,a#/bb2,b2,c#/db2,d#/eb2
g#/ab,g#/ab2,68,569,78,430,86,247,a#/bb2,b2,c2,c#/db2,d#/eb2,d2,e3,f2,f#/gb2,g2,g#/ab3,a#/bb3,b3,c#/db3,d#/eb3
g#/ab,g#/ab3,101,519,106,362,0,0,a#/bb3,b3,c3,c#/db3,d#/eb3,d3,e4,f3,f#/gb3,g3,0,0,0,0,0
a,a1,58,397,68,208,0,0,b1,c1,c#/db1,d1,e2,d#/eb1,f2,f#/gb2,g2,g#/ab2,a2,b2,c2,d2,f#/gb3
a,a2,68,595,78,461,86,286,b2,c2,c#/db2,d2,e3,d#/eb2,f3,f#/gb3,g3,g#/ab3,a3,b3,c3,d3,0
